湖南移动,#genre#
潇湘电影，http://tvgslb.hn.chinamobile.com:8089/000000001000/HD-8000k-1080P-xiaoxiangdy/index.m3u8
湖南电视剧,http://tvgslb.hn.chinamobile.com:8089/000000001000/HD-8000k-1080P-xiaoxiangdsj/index.m3u8
浙江卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000009806/1.m3u8
江苏卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000004684/1.m3u8
东方卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000030202/1.m3u8
广东卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000028357/1.m3u8
深圳卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000011645/1.m3u8
天津卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000000831/1.m3u8
山东卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000012807/1.m3u8
北京卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000017156/1.m3u8
黑龙江卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000009082/1.m3u8
重庆卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000018937/1.m3u8
辽宁卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000024033/1.m3u8
东南卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000009263/1.m3u8
江西卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000013731/1.m3u8
四川卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000016825/1.m3u8
广西卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000019837/1.m3u8
河南卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/7304224304099543804/1.m3u8
河北卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000017118/1.m3u8
山西卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000021220/1.m3u8
贵州卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000003169/1.m3u8
湖北卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000010355/1.m3u8
青海卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000013359/1.m3u8
安徽卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000020780/1.m3u8
甘肃卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000017827/1.m3u8
内蒙古卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000014080/1.m3u8
宁夏卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000031451/1.m3u8
陕西卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000007495/1.m3u8
新疆卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000029441/1.m3u8
吉林卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000027730/1.m3u8
云南卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000024694/1.m3u8
西藏卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000015894/1.m3u8
海南卫视,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000002000023773/1.m3u8


电信,#genre#
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
中天新闻,http://60.251.39.247:8504/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-兵器科技,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV-世界地理,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV-央视精品,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513803.m3u8

求索动物,http://111.11.123.28:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索记录,http://111.11.123.28:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://111.11.123.28:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3


文物宝库,http://tvcdn.stream3.hndt.com/tv/65b5a69d017e1000aa645bea00000000_transios/playlist.m3u8?wsSecret=83eefc1b9a2bc5d98dd00489b89867bc&wsTime=1662958714
冬奥纪实,http://111.20.35.103:6610/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
全纪实,http://140.207.241.3:8080/live/program/live/qjshd/4000000/d1.m3u8
金鹰纪实,http://124.232.231.246:6610/000000001001/201600020008/index.m3u8?A=&IASHttpSessionId=OTT
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
CNA亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
ABC新闻频道,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
FOX新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
RT News TV,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
CNN,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8
半岛电视,http://live-hls-web-aje.getaj.net/AJE/06.m3u8
